UserID,Password,Device,Location,age,sex,bmi,children,smoker,charges,UserType
1,patient1,Mobile,northwest,11,male,18.5,1,no,1001,Patient
2,patient2,Tablet,northeast,12,female,19.0,2,no,1002,Patient
3,patient3,Laptop,southwest,13,male,19.5,3,yes,1003,Patient
4,patient4,Mobile,southeast,14,female,20.0,4,no,1004,Patient
5,patient5,Tablet,northwest,15,male,20.5,0,no,1005,Patient
6,patient6,Laptop,northeast,16,female,21.0,1,yes,1006,Patient
7,patient7,Mobile,southwest,17,male,21.5,2,no,1007,Patient
8,patient8,Tablet,southeast,18,female,22.0,3,no,1008,Patient
9,patient9,Laptop,northwest,19,male,22.5,4,yes,1009,Patient
10,patient10,Mobile,northeast,20,female,23.0,0,no,1010,Patient
11,patient11,Tablet,southwest,21,male,23.5,1,no,1011,Patient
12,patient12,Laptop,southeast,22,female,24.0,2,yes,1012,Patient
13,patient13,Mobile,northwest,23,male,24.5,3,no,1013,Patient
14,patient14,Tablet,northeast,24,female,25.0,4,no,1014,Patient
15,patient15,Laptop,southwest,25,male,25.5,0,yes,1015,Patient
16,patient16,Mobile,southeast,26,female,26.0,1,no,1016,Patient
17,patient17,Tablet,northwest,27,male,26.5,2,no,1017,Patient
18,patient18,Laptop,northeast,28,female,27.0,3,yes,1018,Patient
19,patient19,Mobile,southwest,29,male,27.5,4,no,1019,Patient
20,patient20,Tablet,southeast,30,female,28.0,0,no,1020,Patient
21,patient21,Laptop,northwest,31,male,28.5,1,yes,1021,Patient
22,patient22,Mobile,northeast,32,female,29.0,2,no,1022,Patient
23,patient23,Tablet,southwest,33,male,29.5,3,no,1023,Patient
24,patient24,Laptop,southeast,34,female,30.0,4,yes,1024,Patient
25,patient25,Mobile,northwest,35,male,30.5,0,no,1025,Patient
26,patient26,Tablet,northeast,36,female,31.0,1,no,1026,Patient
27,patient27,Laptop,southwest,37,male,31.5,2,yes,1027,Patient
28,patient28,Mobile,southeast,38,female,32.0,3,no,1028,Patient
29,patient29,Tablet,northwest,39,male,32.5,4,no,1029,Patient
30,patient30,Laptop,northeast,40,female,18.0,0,yes,1030,Patient
31,patient31,Mobile,southwest,41,male,18.5,1,no,1031,Patient
32,patient32,Tablet,southeast,42,female,19.0,2,no,1032,Patient
33,patient33,Laptop,northwest,43,male,19.5,3,yes,1033,Patient
34,patient34,Mobile,northeast,44,female,20.0,4,no,1034,Patient
35,patient35,Tablet,southwest,45,male,20.5,0,no,1035,Patient
36,patient36,Laptop,southeast,46,female,21.0,1,yes,1036,Patient
37,patient37,Mobile,northwest,47,male,21.5,2,no,1037,Patient
38,patient38,Tablet,northeast,48,female,22.0,3,no,1038,Patient
39,patient39,Laptop,southwest,49,male,22.5,4,yes,1039,Patient
40,patient40,Mobile,southeast,50,female,23.0,0,no,1040,Patient
41,patient41,Tablet,northwest,51,male,23.5,1,no,1041,Patient
